zipcode,diff
91901,-5.7142857142853245
91902,-21.285714285713766
91905,3.142857142857224
91906,3.1428571428571104
91910,-145.85714285714857
91911,-150.28571428571013
91913,-210.4285714285761
91914,-17.857142857141298
91915,-84.99999999999636
91916,3.571428571428214
91917,4.285714285714334
91931,1.8571428571428612
91932,-45.714285714284415
91934,2.7142857142857935
91935,-4.714285714285779
91941,-21.428571428576106
91942,-75.71428571428805
91945,-65.14285714285688
91948,0.0
91950,74.00000000001091
91962,1.2857142857142776
91963,2.7142857142857224
91977,-115.71428571427532
91978,-12.999999999998181
91980,25.571428571428612
92003,-2.2857142857153576
92004,5.14285714285711
92007,-5.571428571429578
92008,-26.857142857143117
92009,-53.714285714286234
92010,-32.28571428571513
92011,-18.857142857144936
92014,4.571428571428896
92019,-86.28571428571558
92020,-78.14285714285506
92021,-46.71428571428987
92024,-87.71428571428442
92025,-43.42857142857065
92026,-24.42857142857065
92027,-102.28571428571013
92028,-0.57142857143117
92029,-20.999999999996362
92036,10.571428571428555
92037,-77.99999999999636
92040,-53.99999999999636
92054,-49.42857142857065
92055,107.42857142857247
92056,-110.85714285713948
92057,-114.85714285714312
92058,-37.85714285714312
92059,13.428571428571331
92060,2.142857142857153
92061,18.857142857142662
92064,-100.85714285713584
92065,-33.14285714285688
92066,-1.4285714285714235
92067,2.714285714285097
92069,-111.71428571428805
92070,1.1428571428569967
92071,-127.99999999999818
92075,-12.142857142857792
92078,-86.71428571428623
92081,562.0
92082,0.857142857141298
92083,385.57142857142753
92084,-93.42857142856337
92086,4.571428571428584
92091,-0.14285714285708195
92093,13199.714285714283
92096,0.857142857142847
92101,-11.285714285713766
92102,-59.57142857142935
92103,-99.57142857142844
92104,-102.14285714285688
92105,-114.99999999999636
92106,-33.571428571429806
92107,-38.142857142855064
92108,-45.99999999999818
92109,-82.00000000000182
92110,7.1428571428559735
92111,-143.00000000000182
92113,214.14285714284415
92114,-221.9999999999891
92115,-88.14285714285506
92116,-77.14285714285597
92117,-33.99999999999636
92118,-3.857142857143117
92119,-46.71428571428714
92120,-38.714285714284415
92121,16.714285714284188
92122,-59.714285714286234
92123,-54.85714285714312
92124,-61.71428571428714
92126,-130.71428571427896
92127,-116.0
92128,-85.14285714285688
92129,-88.71428571428442
92130,-136.14285714286052
92131,-60.285714285714675
92134,20.0
92135,50.571428571428555
92136,63.14285714285711
92139,-86.85714285714312
92140,19.428571428571445
92145,36.85714285714286
92154,837.2857142857174
92155,7.857142857142875
92161,0.0
92173,-49.99999999999636
92182,1.8571428571428328
92259,0.0
92536,1.4285714285714306
92672,149.42857142857144
