lineage,collapsed_lineage
BA.2,BA.2
BA.2.86,BA.2.86
BA.2.86.1,BA.2.86
DV.7.1,Other
DV.7.1.4,Other
EG.1,Other
EG.1.4,Other
EG.10.1.1,Other
EG.5,EG.5
EG.5.1,EG.5
EG.5.1.1,EG.5.1
EG.5.1.12,EG.5.1
EG.5.1.13,EG.5.1
EG.5.1.14,EG.5.1
EG.5.1.16,EG.5.1
EG.5.1.3,EG.5.1
EG.5.1.4,EG.5.1
EG.5.1.6,EG.5.1
EG.5.1.8,EG.5.1.8
EG.6.1,Other
EG.6.1.1,Other
FD.4,Other
FL.1.5.1,FL.1.5.1
FL.10.1,Other
FL.15.1.1,Other
FL.16,Other
FL.20,Other
FL.25,Other
FL.34,Other
FU.1,Other
FU.1.1.1,Other
FU.2,Other
FU.2.1,Other
FY.5.1.1,Other
GE.1,GE.1
GJ.1.2,Other
GJ.1.2.6,Other
GJ.1.2.8,Other
GK.1.1,GK.1.1
GK.1.1.1,GK.1.1
GK.1.4,Other
GK.1.6.1,Other
GK.2.1,GK.2
GK.3.1,Other
GN.1.1,Other
GS.1,Other
GS.4,Other
GS.4.1,Other
GW.5.3.1,Other
HF.1,HF.1
HF.1.1,HF.1
HK.1,HK
HK.13,HK
HK.13.1,HK
HK.19,HK
HK.20.1,HK
HK.22,HK
HK.26,HK
HK.27.1,HK
HK.27.1.1,HK
HK.3,HK.3
HK.3.1,HK.3
HK.3.13,HK.3
HK.3.14,HK.3
HK.3.2,HK.3
HK.3.2.2,HK.3
HK.3.4,HK.3
HK.31,HK
HK.33,HK
HK.5,HK
HK.6,HK
HK.8,HK
HK.8.1,HK
HN.1,Other
HN.3,Other
HN.4,Other
HN.5,Other
HN.6,Other
HV.1,HV.1
HV.1.1,HV.1
HV.1.10,HV.1
HV.1.11,HV.1
HV.1.2,HV.1
HV.1.4,HV.1
HV.1.5,HV.1
HV.1.6,HV.1
HV.1.8,HV.1
HV.2,Other
HZ.1,Other
HZ.2,Other
JC.1,Other
JC.5.1,Other
JD.1.1,JD.1.1
JD.1.1.1,JD.1.1
JD.1.1.5,JD.1.1
JD.1.1.8,JD.1.1
JE.1.1.1,Other
JF.1,JF.1
JF.1.1,JF.1.1
JF.4,Other
JG.3,JG.3
JG.3.1,JG.3
JG.3.2,JG.3
JN.1,JN.1
JN.1.1,JN.1
JN.1.1.10,JN.1
JN.1.1.2,JN.1
JN.1.1.3,JN.1
JN.1.1.5,JN.1
JN.1.12,JN.1
JN.1.18,JN.1.18
JN.1.19,JN.1
JN.1.2,JN.1
JN.1.21,JN.1
JN.1.22,JN.1
JN.1.25,JN.1
JN.1.32,JN.1.32
JN.1.38,JN.1
JN.1.39,JN.1
JN.1.4,JN.1.4
JN.1.4.2,JN.1.4
JN.1.4.4,JN.1.4
JN.1.4.5,JN.1.4
JN.1.4.7,JN.1.4
JN.1.42,JN.1
JN.1.43,JN.1
JN.1.46,JN.1
JN.1.47,JN.1
JN.1.49,JN.1
JN.1.5,JN.1
JN.1.52,JN.1
JN.1.6,JN.1
JN.1.6.1,JN.1
JN.1.7,JN.1.7
JN.1.8.1,JN.1.8.1
JN.1.9,JN.1
JN.13.1,Other
JN.18,Other
JN.2,Other
KB.1,Other
KC.1,Other
KC.1.1,Other
KH.1,Other
KK.1,Other
KL.1,Other
KL.1.1,Other
KT.1.1,Other
XBB.1.16,XBB.1.16
XBB.1.16.1,XBB.1.16
XBB.1.16.11,XBB.1.16.11
XBB.1.16.12,XBB.1.16
XBB.1.16.15,XBB.1.16.15
XBB.1.16.17,XBB.1.16
XBB.1.16.23,XBB.1.16
XBB.1.16.5,XBB.1.16
XBB.1.16.6,XBB.1.16.6
XBB.1.16.8,XBB.1.16
XBB.1.16.9,XBB.1.16
XBB.1.41.2,XBB
XBB.1.42.2,XBB
XBB.1.5,XBB.1.5
XBB.1.5.10,XBB.1.5
XBB.1.5.105,XBB.1.5
XBB.1.5.110,XBB.1.5
XBB.1.5.35,XBB.1.5
XBB.1.5.70,XBB.1.5
XBB.1.5.72,XBB.1.5
XBB.1.5.73,XBB.1.5
XBB.2.3.15,XBB.2.3
XBB.2.3.3,XBB.2.3
XCH,Other
XCH.1,Other
XCR,Other
XCV,Other
XDA,Other
XDD,Other
